Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
WCNN.MX,2525.0,2022/01/28,14:52 CST,-52.01001,0.0,2525.0,2525.0,0,,,,,,,
WBA.MX,1025.0,2022/01/31,12:34 CST,0.0,0.0,1025.0,1025.0,4,,,,,,,
WALMEX.MX,70.89,2022/02/01,11:48 CST,0.75,70.53,71.24,69.81,3489313,,,,,,,
W.MX,2912.41,2022/01/27,14:45 CST,-149.38013,0.0,2912.41,2912.41,5,,,,,,,
VYGR.MX,56.0,2022/01/27,10:52 CST,0.0,0.0,56.0,56.0,0,,,,,,,
VWSN.MX,541.54,2022/01/31,12:38 CST,0.0,0.0,541.54,541.54,0,,,,,,,
VTRS.MX,310.86,2022/02/01,11:27 CST,4.8599854,310.86,310.86,310.86,11276,,,,,,,
VTNR.MX,80.0,2022/01/26,13:14 CST,2.4000015,0.0,80.0,80.0,0,,,,,,,
VRTX.MX,5027.44,2022/02/01,10:52 CST,57.43994,5027.44,5027.44,5027.44,140,,,,,,,
VRSK.MX,3940.0,2022/01/27,14:46 CST,0.0,0.0,3940.0,3940.0,0,,,,,,,
VRM.MX,151.71,2022/01/27,09:16 CST,0.0,0.0,151.71,151.71,2,,,,,,,
VOLARA.MX,36.76,2022/02/01,11:46 CST,0.11999893,36.75,37.13,36.35,248848,,,,,,,
VODN.MX,387.0,2022/01/31,09:22 CST,0.0,0.0,387.0,387.0,4,,,,,,,
VMW.MX,2593.0,2022/01/27,09:57 CST,0.0,0.0,2593.0,2593.0,0,,,,,,,
VMEX19.MX,38.0,2022/01/31,14:54 CST,0.09000015,0.0,38.0,38.0,660,,,,,,,
VMC.MX,3820.0,2022/01/24,12:39 CST,0.0,0.0,3820.0,3820.0,0,,,,,,,
VLO.MX,1724.0,2022/02/01,09:09 CST,49.0,1720.0,1724.0,1720.0,30,,,,,,,
VITROA.MX,21.7,2022/02/01,11:30 CST,-0.099998474,21.7,21.7,21.7,2862,,,,,,,
VISTAA.MX,130.0,2022/02/01,11:26 CST,6.0,128.0,132.0,128.0,149179,,,,,,,
VISCN.MX,1227.68,2022/01/25,09:35 CST,0.0,0.0,1227.68,1227.68,0,,,,,,,
VINTE.MX,28.35,2022/02/01,11:46 CST,-0.14999962,28.8,28.8,27.7,47324,,,,,,,
VIEN.MX,736.13,2022/02/01,08:39 CST,-736.13,,,,,,,,,,,
VIDN.MX,1771.49,2022/02/01,09:26 CST,-222.00525,1771.49,1771.49,1771.49,1800,,,,,,,
VIAC.MX,660.0,2022/01/27,08:39 CST,0.0,0.0,660.0,660.0,1,,,,,,,
VESTA.MX,39.08,2022/02/01,11:47 CST,0.010002136,38.63,39.35,38.63,139949,,,,,,,
VEEV.MX,4889.3,2022/01/31,14:52 CST,0.0,0.0,4889.3,4889.3,0,,,,,,,
VASCONI.MX,24.2,2022/01/31,14:40 CST,0.0,0.0,24.2,24.2,29,,,,,,,
VALUEGFO.MX,110.75,2022/01/24,14:45 CST,0.010002136,0.0,110.75,110.75,113,,,,,,,
VALEN.MX,327.5,2022/02/01,11:14 CST,17.48999,325.0,327.5,325.0,960,,,,,,,
USB.MX,1195.2,2022/01/26,13:40 CST,0.0,0.0,1195.2,1195.2,0,,,,,,,
URI.MX,6606.02,2022/02/01,09:20 CST,66.02002,6606.02,6606.02,6606.02,24,,,,,,,
URBI.MX,6.21,2022/01/27,14:53 CST,0.0,0.0,6.21,6.21,20,,,,,,,
UPWK.MX,519.6,2022/01/24,12:48 CST,0.0,0.0,519.6,519.6,4,,,,,,,
UPST.MX,2471.0,2022/02/01,10:53 CST,220.1499,2251.0,2499.99,2251.0,145,,,,,,,
UNIFINA.MX,28.0,2022/02/01,11:46 CST,-0.5300007,28.48,29.0,27.65,85898,,,,,,,
UBIN.MX,1141.51,2022/01/28,11:09 CST,0.0,0.0,1141.51,1141.51,0,,,,,,,
UBER.MX,781.78,2022/02/01,11:44 CST,15.590027,780.0,789.17,767.0,13546,,,,,,,
UAL.MX,905.0,2022/02/01,11:43 CST,25.0,880.01,909.99,880.01,1564,,,,,,,
UAA.MX,380.0,2022/01/28,11:21 CST,0.0,0.0,380.0,380.0,0,,,,,,,
U.MX,2215.0,2022/02/01,08:32 CST,75.0,2215.0,2215.0,2215.0,20,,,,,,,
TYL.MX,9774.8,2022/02/01,10:52 CST,377.08984,9774.8,9774.8,9774.8,80,,,,,,,
TXG.MX,1765.05,2022/01/28,13:29 CST,-58.089966,0.0,1765.05,1765.05,0,,,,,,,
TX.MX,824.1,2022/02/01,11:26 CST,-13.400024,851.0,854.0,824.1,8747,,,,,,,
TWTR.MX,772.0,2022/02/01,11:39 CST,3.5300293,772.0,778.0,762.5,3462,,,,,,,
TWLO.MX,4299.99,2022/02/01,11:05 CST,49.990234,4220.0,4299.99,4220.0,24,,,,,,,
TUBN.MX,35.4,2022/01/25,09:33 CST,0.0,0.0,35.4,35.4,0,,,,,,,
TTWO.MX,3268.0,2022/02/01,11:26 CST,-88.11011,3350.0,3350.0,3268.0,3591,,,,,,,
TTN.MX,3602.51,2022/01/25,14:12 CST,11.100098,0.0,3602.51,3602.51,0,,,,,,,
TTMN.MX,673.9,2022/01/27,08:32 CST,0.0,0.0,673.9,673.9,0,,,,,,,
TTEN.MX,1167.0,2022/01/31,09:09 CST,0.0,0.0,1167.0,1167.0,0,,,,,,,
TTD.MX,1440.0,2022/02/01,11:11 CST,36.5,1471.99,1471.99,1440.0,58,,,,,,,
TSN.MX,1840.0,2022/01/25,12:03 CST,0.0,0.0,1840.0,1840.0,0,,,,,,,
TSM301L-DC004.MX,1000.0,2022/01/28,12:59 CST,0.0,0.0,1000.0,1000.0,0,,,,,,,
TSL301L-DC076.MX,100.0,2022/01/26,13:46 CST,0.0,0.0,100.0,100.0,0,,,,,,,
TS.MX,998.56,2022/02/01,11:48 CST,3.2999878,999.34,990.66,255.0,13398127,,,,,,,
TRV.MX,3438.0,2022/01/28,08:32 CST,0.0,0.0,3438.0,3438.0,0,,,,,,,
TRNEN.MX,71.14,2022/01/24,13:24 CST,11.989998,0.0,71.14,71.14,0,,,,,,,
TRMB.MX,1400.0,2022/01/28,12:09 CST,0.0,0.0,1400.0,1400.0,865,,,,,,,
TRIP.MX,540.0,2022/01/26,12:17 CST,0.0,0.0,540.0,540.0,0,,,,,,,
TRIN.MX,2170.15,2022/01/26,14:29 CST,0.0,0.0,2170.15,2170.15,0,,,,,,,
TREX1.MX,1783.5,2022/01/28,14:14 CST,0.0,0.0,1783.5,1783.5,0,,,,,,,
TRAXIONA.MX,33.38,2022/02/01,11:48 CST,0.54999924,33.0,34.0,32.54,205369,,,,,,,
TMMA.MX,2.79,2022/02/01,11:35 CST,-0.029999971,2.84,2.93,2.79,29373,,,,,,,
TMEN.MX,129.99,2022/01/24,14:38 CST,0.0,0.0,129.99,129.99,0,,,,,,,
TLEVISACPO.MX,42.96,2022/02/01,11:48 CST,0.91999817,41.92,43.75,41.81,1157965,,,,,,,
TKR.MX,1353.0,2022/01/28,11:52 CST,0.0,0.0,1353.0,1353.0,0,,,,,,,
TJX.MX,1453.3,2022/01/26,13:41 CST,0.0,0.0,1453.3,1453.3,0,,,,,,,
TIGRN.MX,90.0,2022/01/31,12:26 CST,0.0,0.0,90.0,90.0,2,,,,,,,
TGT.MX,4482.99,2022/02/01,11:38 CST,-53.009766,4511.0,4511.0,4482.99,17,,,,,,,
TFC.MX,1310.85,2022/01/25,14:12 CST,0.0,0.0,1310.85,1310.85,0,,,,,,,
TEVAN.MX,179.5,2022/01/26,10:50 CST,0.0,0.0,179.5,179.5,0,,,,,,,
TERRA13.MX,28.9,2022/02/01,11:48 CST,0.02999878,29.0,29.13,28.12,1038819,,,,,,,
TER.MX,2392.15,2022/01/31,14:51 CST,0.0,0.0,2392.15,2392.15,0,,,,,,,
TENB.MX,997.97,2022/01/24,13:59 CST,-10.600037,0.0,997.97,997.97,0,,,,,,,
TEFN.MX,93.0,2022/02/01,08:35 CST,-2.0,93.0,93.0,93.0,14,,,,,,,
TECKN.MX,686.75,2022/01/26,12:51 CST,0.0,0.0,686.75,686.75,0,,,,,,,
TEAKCPO.MX,5.4,2022/01/31,14:19 CST,0.0,0.0,5.4,5.4,206,,,,,,,
TDOC.MX,1625.63,2022/02/01,11:39 CST,45.630005,1650.0,1650.0,1625.63,31,,,,,,,
TALN.MX,57.98,2022/02/01,11:33 CST,-0.020000458,59.0,59.49,54.98,1123,,,,,,,
SYF.MX,883.53,2022/02/01,11:16 CST,11.530029,865.0,883.53,865.0,4133,,,,,,,
SY1N.MX,2542.22,2022/01/25,10:18 CST,0.0,0.0,2542.22,2542.22,0,,,,,,,
SWKS.MX,2906.21,2022/01/27,11:31 CST,0.0,0.0,2906.21,2906.21,0,,,,,,,
SWAV.MX,2766.0,2022/01/28,14:21 CST,-26.48999,0.0,2766.0,2766.0,0,,,,,,,
SUUN.MX,582.66,2022/01/31,13:46 CST,0.0,0.0,582.66,582.66,0,,,,,,,
SUN.MX,3419.16,2022/01/28,10:35 CST,0.0,0.0,3419.16,3419.16,0,,,,,,,
STZ.MX,4913.99,2022/01/28,08:51 CST,0.0,0.0,4913.99,4913.99,0,,,,,,,
STXN.MX,2233.0,2022/02/01,10:49 CST,109.0,2233.0,2233.0,2233.0,484,,,,,,,
STWD.MX,508.17,2022/02/01,09:56 CST,8.170013,508.17,508.17,508.17,11,,,,,,,
STT.MX,1932.0,2022/01/27,14:49 CST,0.0,0.0,1932.0,1932.0,0,,,,,,,
STOR.MX,640.0,2022/01/31,14:57 CST,0.0,0.0,640.0,640.0,0,,,,,,,
STNN.MX,1074.14,2022/01/27,14:37 CST,0.0,0.0,1074.14,1074.14,0,,,,,,,
STN.MX,1174.0,2022/01/31,14:48 CST,0.0,0.0,1174.0,1174.0,0,,,,,,,
STLD.MX,1142.0,2022/01/31,13:31 CST,0.0,0.0,1142.0,1142.0,0,,,,,,,
STAG.MX,850.0,2022/01/25,10:39 CST,0.0,0.0,850.0,850.0,0,,,,,,,
SSNC.MX,1605.96,2022/01/28,10:22 CST,0.0,0.0,1605.96,1605.96,0,,,,,,,
SRE.MX,2853.69,2022/01/31,14:59 CST,10.109863,0.0,2853.69,2853.69,0,,,,,,,
SQ.MX,2600.0,2022/02/01,11:33 CST,96.86011,2610.0,2650.0,2504.81,1305,,,,,,,
SPY212R-DC140.MX,94.0,2022/01/28,10:31 CST,0.0,0.0,94.0,94.0,0,,,,,,,
SPOTN.MX,4080.0,2022/02/01,08:49 CST,74.98999,4080.0,4080.0,4080.0,90,,,,,,,
SPORTS.MX,4.75,2022/02/01,10:40 CST,-0.010000229,4.75,4.75,4.73,9671,,,,,,,
SPLK.MX,2554.4,2022/01/31,14:54 CST,0.0,0.0,2554.4,2554.4,0,,,,,,,
SPGI.MX,8657.98,2022/01/31,14:55 CST,115.30078,0.0,8657.98,8657.98,0,,,,,,,
SPG.MX,2993.0,2022/01/28,11:15 CST,0.0,0.0,2993.0,2993.0,0,,,,,,,
SPCE.MX,198.0,2022/02/01,11:47 CST,7.6799927,192.51,202.49,189.0,64837,,,,,,,
SOWN.MX,783.54,2022/01/31,09:10 CST,0.0,0.0,783.54,783.54,0,,,,,,,
SORIANAB.MX,23.29,2022/02/01,09:36 CST,-0.0099983215,22.76,23.29,22.76,1220,,,,,,,
SONYN.MX,2330.0,2022/02/01,08:30 CST,30.0,2330.0,2330.0,2330.0,18,,,,,,,
SOLN.MX,111.8,2022/02/01,11:30 CST,1.090004,111.0,115.19,109.81,972,,,,,,,
SOFTN.MX,868.7,2022/01/27,10:54 CST,0.0,0.0,868.7,868.7,0,,,,,,,
SOFI.MX,269.5,2022/02/01,11:40 CST,12.51001,257.97,279.29,255.0,3110,,,,,,,
SNPN.MX,1075.09,2022/02/01,10:48 CST,-14.910034,1075.09,1075.09,1075.09,21,,,,,,,
SNOW.MX,5700.0,2022/02/01,08:31 CST,114.799805,5700.0,5700.0,5700.0,6,,,,,,,
SNCN.MX,431.87,2022/01/27,14:41 CST,0.0,0.0,431.87,431.87,0,,,,,,,
SNAP.MX,690.43,2022/02/01,10:28 CST,28.429993,669.11,690.43,669.11,20,,,,,,,
SLBN.MX,810.56,2022/02/01,09:15 CST,-0.3499756,810.56,810.56,810.56,142,,,,,,,
SLAB.MX,3235.24,2022/01/27,12:23 CST,0.0,0.0,3235.24,3235.24,0,,,,,,,
SKLZ.MX,98.0,2022/02/01,11:26 CST,-0.51999664,98.75,98.75,96.0,188,,,,,,,
SJM.MX,2907.0,2022/01/27,11:06 CST,0.0,0.0,2907.0,2907.0,0,,,,,,,
SIVB.MX,12073.05,2022/02/01,09:17 CST,465.5996,12073.05,12073.05,12073.05,39,,,,,,,
SITESB-1.MX,21.98,2022/02/01,11:48 CST,0.19999886,21.41,22.4,21.41,374796,,,,,,,
SIMECB.MX,175.06,2022/02/01,11:43 CST,-4.9400024,175.02,176.0,175.02,820,,,,,,,
SIKAN.MX,5983.69,2022/01/28,10:36 CST,0.0,0.0,5983.69,5983.69,10,,,,,,,
SIDN.MX,95.0,2022/01/27,13:59 CST,0.0,0.0,95.0,95.0,2,,,,,,,
SI.MX,1870.0,2022/01/28,09:34 CST,0.0,0.0,1870.0,1870.0,0,,,,,,,
SHW.MX,5892.0,2022/01/31,14:23 CST,0.0,0.0,5892.0,5892.0,0,,,,,,,
SHOPN.MX,20218.39,2022/02/01,11:02 CST,448.39062,19722.7,20218.39,19722.7,48,,,,,,,
SEN.MX,3175.0,2022/02/01,11:33 CST,67.0,3175.5,3175.5,3175.0,84,,,,,,,
SEIC.MX,1208.61,2022/01/25,14:15 CST,7.089966,0.0,1208.61,1208.61,0,,,,,,,
SEDGN.MX,4490.0,2022/01/28,11:14 CST,66.279785,0.0,4490.0,4490.0,0,,,,,,,
SDC.MX,53.5,2022/02/01,11:42 CST,2.5,52.0,53.5,52.0,274,,,,,,,
SCHPN.MX,5145.58,2022/01/28,10:22 CST,0.0,0.0,5145.58,5145.58,0,,,,,,,
SCCO.MX,1331.0,2022/01/25,13:29 CST,0.0,0.0,1331.0,1331.0,0,,,,,,,
SBUX.MX,2010.0,2022/02/01,11:37 CST,0.0,2015.0,2015.0,2000.0,330,,,,,,,
SBSWN.MX,290.0,2022/01/31,09:12 CST,0.0,0.0,290.0,290.0,0,,,,,,,
SBNY.MX,6350.0,2022/01/31,13:56 CST,0.0,0.0,6350.0,6350.0,0,,,,,,,
SAVA.MX,1009.0,2022/02/01,10:14 CST,239.0,960.0,1009.0,960.0,134,,,,,,,
SAP2N.MX,455.63,2022/01/27,14:41 CST,0.0,0.0,455.63,455.63,0,,,,,,,
SAP1N.MX,2715.94,2022/01/25,10:40 CST,0.0,0.0,2715.94,2715.94,1267,,,,,,,
SAN.MX,67.0,2022/02/01,11:20 CST,-3.75,66.0,67.0,66.0,1740,,,,,,,
SAMPON.MX,995.03,2022/01/26,10:45 CST,0.0,0.0,995.03,995.03,0,,,,,,,
RVLV.MX,1057.0,2022/02/01,10:32 CST,142.0,1050.0,1057.0,1050.0,20,,,,,,,
RUN.MX,550.0,2022/02/01,08:41 CST,22.0,550.0,550.0,550.0,49,,,,,,,
RSGA.MX,2627.2,2022/01/31,14:20 CST,0.0,0.0,2627.2,2627.2,0,,,,,,,
ROVIN.MX,1541.12,2022/02/01,09:22 CST,75.829956,1541.12,1541.12,1541.12,987,,,,,,,
ROST.MX,1992.0,2022/01/31,10:05 CST,0.0,0.0,1992.0,1992.0,0,,,,,,,
ROKU.MX,3420.0,2022/02/01,11:11 CST,90.0,3420.0,3489.98,3300.03,125,,,,,,,
RNECN.MX,222.13,2022/01/27,10:10 CST,0.0,0.0,222.13,222.13,0,,,,,,,
RMD.MX,4695.0,2022/01/31,11:54 CST,0.0,0.0,4695.0,4695.0,0,,,,,,,
RIOT.MX,334.02,2022/02/01,11:43 CST,8.019989,331.0,349.99,325.0,5923,,,,,,,
RIGN.MX,71.0,2022/02/01,10:57 CST,5.800003,68.4,71.0,68.4,282,,,,,,,
RH.MX,8530.0,2022/02/01,10:44 CST,330.0,8530.0,8530.0,8530.0,74,,,,,,,
REV.MX,200.0,2022/01/26,13:56 CST,0.0,0.0,200.0,200.0,0,,,,,,,
REPSN.MX,263.42,2022/02/01,09:23 CST,1.6300049,263.42,263.42,263.42,5457,,,,,,,
REGN.MX,12582.54,2022/02/01,11:08 CST,-97.45996,12582.54,12582.54,12582.54,6,,,,,,,
RCL.MX,1702.39,2022/02/01,11:46 CST,181.39001,1620.0,1702.39,1620.0,852,,,,,,,
RARE.MX,1472.7,2022/01/26,11:11 CST,0.0,0.0,1472.7,1472.7,0,,,,,,,
