Date,ADSK.MX,AMXA.MX,AMXL.MX,ATVI.MX,ACOFN.MX,AIN.MX,ADI.MX,AIRN.MX,ABNB.MX,ANTM.MX,AMT.MX,AME.MX,AMP.MX,ANET.MX,ALGN.MX,ABEVN.MX,APH.MX,AIG.MX,ALLY1.MX,AKAM.MX,AFRM.MX,ALB.MX,ANSS.MX,0QBON.MX,AXTELCPO.MX,AGNC.MX,ARMK.MX,AMC.MX,AC.MX,AA1.MX,AAL.MX,APA.MX,ABMD.MX,AAP.MX,ACLS.MX,ALPEKA.MX,ALFAA.MX,AYX.MX,ACXN.MX,APAMN.MX,AWI.MX,ATKR.MX,ASURB.MX,ATUS.MX,ATOS.MX,ATER.MX,ACCELSAB.MX,AUTLANB.MX,AMSN.MX,2382N.MX
2020-09-30,4878.10986328125,12.926685333251953,13.163046836853027,1806.5594482421875,1051.433837890625,3626.002685546875,2646.12646484375,1620.0,,5622.16064453125,5305.4560546875,2143.15625,3440.004638671875,1171.0,7320.0,49.43621063232422,1101.7822265625,648.9625854492188,544.9200439453125,2486.6298828125,,2013.913330078125,7145.2001953125,3865.17724609375,7.03000020980835,316.1531982421875,559.3060302734375,108.66999816894531,90.44187927246094,262.0719909667969,272.44000244140625,206.8859100341797,6166.0,2517.367431640625,,15.335809707641602,13.681905746459961,,161.7102508544922,655.6754760742188,,536.9400024414062,251.23834228515625,567.8499755859375,,,18.0,10.476978302001953,,
2020-10-01,4878.10986328125,12.926685333251953,12.631973266601562,1806.4395751953125,1051.433837890625,3626.002685546875,2646.12646484375,1620.0,,5622.16064453125,5305.4560546875,2143.15625,3440.004638671875,1125.0,7320.0,49.58572006225586,1198.46923828125,599.1322631835938,544.9200439453125,2447.780029296875,,2013.913330078125,7275.60009765625,3865.17724609375,7.019999980926514,316.1531982421875,559.3060302734375,104.30000305175781,89.05366516113281,262.0719909667969,274.6499938964844,200.5700225830078,6010.0,2517.367431640625,,15.156560897827148,13.372540473937988,,161.7102508544922,655.6754760742188,,536.9400024414062,236.22018432617188,570.5,,,18.0,10.46732234954834,,
2020-10-02,4878.10986328125,12.926685333251953,12.73629093170166,1689.617431640625,1051.433837890625,3626.002685546875,2646.12646484375,1690.0,,5622.16064453125,5241.53515625,2143.15625,3440.004638671875,1125.0,7320.0,49.58572006225586,1198.46923828125,599.1322631835938,544.9200439453125,2447.780029296875,,2013.913330078125,7275.60009765625,3865.17724609375,7.110000133514404,313.170654296875,559.3060302734375,102.0999984741211,88.41150665283203,252.9729461669922,282.8399963378906,211.86270141601562,5716.0,2517.367431640625,,15.216310501098633,13.342602729797363,,161.7102508544922,655.6754760742188,,536.9400024414062,239.04771423339844,567.0,,,18.0,10.621821403503418,,
2020-10-05,4900.3701171875,12.376612663269043,12.669905662536621,1704.84375,1051.433837890625,3626.002685546875,2646.12646484375,1690.0,,5622.16064453125,5241.53515625,2143.15625,3470.96826171875,1125.0,7320.0,48.19034194946289,1198.46923828125,618.0919799804688,544.9200439453125,2447.780029296875,,2013.913330078125,7275.60009765625,3865.17724609375,7.099999904632568,313.170654296875,559.3060302734375,100.91999816894531,87.92987060546875,252.9729461669922,280.3699951171875,208.8646697998047,5710.0,2517.367431640625,,15.30593490600586,13.442397117614746,,161.7102508544922,655.6754760742188,,536.9400024414062,240.9164276123047,567.0,,,18.0,10.621821403503418,,
2020-10-06,4949.68994140625,12.376612663269043,12.73629093170166,1690.607177734375,1016.4237670898438,3626.002685546875,2646.12646484375,1690.0,,5622.16064453125,5241.53515625,2143.15625,3495.939453125,1135.75,7320.0,53.323333740234375,1198.46923828125,633.3875732421875,544.9200439453125,2357.110107421875,,2013.913330078125,7275.60009765625,3865.17724609375,7.150000095367432,310.18804931640625,559.3060302734375,100.91999816894531,87.09883117675781,259.9721984863281,272.4700012207031,208.8646697998047,5710.0,2517.367431640625,,15.246186256408691,13.372540473937988,,161.7102508544922,655.6754760742188,,536.9400024414062,241.2001495361328,567.0,,,18.0,10.621821403503418,,
2020-10-07,5031.14990234375,12.376612663269043,12.802674293518066,1685.0484619140625,1016.4237670898438,3626.002685546875,2646.12646484375,1715.5999755859375,,5622.16064453125,5241.53515625,2143.15625,3495.939453125,1135.75,7320.0,53.33330154418945,1198.46923828125,628.9945678710938,544.9200439453125,2357.110107421875,,2013.913330078125,7099.10009765625,3865.17724609375,7.380000114440918,310.18804931640625,559.3060302734375,87.08999633789062,86.77774810791016,259.9721984863281,281.4800109863281,203.8678741455078,5823.64990234375,2517.367431640625,,15.544934272766113,13.482316017150879,,161.7102508544922,655.6754760742188,,536.9400024414062,241.87522888183594,567.0,,,18.0,10.660446166992188,,
2020-10-08,5031.14990234375,12.376612663269043,13.087179183959961,1659.6044921875,1016.4237670898438,3626.002685546875,2646.12646484375,1715.5999755859375,,6241.40380859375,5241.53515625,2143.15625,3616.799560546875,1135.75,7320.0,53.33330154418945,1198.46923828125,628.9945678710938,544.9200439453125,2357.110107421875,,2013.913330078125,7099.10009765625,3865.17724609375,7.75,310.18804931640625,559.3060302734375,86.83000183105469,88.2887191772461,271.9709167480469,281.489990234375,203.8678741455078,5806.39990234375,2517.367431640625,,16.112560272216797,14.091065406799316,,161.7102508544922,655.6754760742188,,536.9400024414062,243.16668701171875,567.0,,,18.0,10.525259017944336,,
2020-10-09,5031.14990234375,12.376612663269043,13.087179183959961,1659.6044921875,1016.4237670898438,3626.002685546875,2646.12646484375,1715.5999755859375,,6241.40380859375,5241.53515625,2143.15625,3616.799560546875,1135.75,7320.0,53.33330154418945,1198.46923828125,628.9945678710938,544.9200439453125,2357.110107421875,,2013.913330078125,7099.10009765625,3865.17724609375,7.75,310.18804931640625,559.3060302734375,86.83000183105469,88.2887191772461,271.9709167480469,281.489990234375,203.8678741455078,5806.39990234375,2517.367431640625,,16.112560272216797,14.091065406799316,,161.7102508544922,655.6754760742188,,536.9400024414062,243.16668701171875,567.0,,,18.0,10.525259017944336,,
2020-10-12,5132.7998046875,12.993072509765625,12.87854290008545,1729.587890625,1016.4237670898438,3626.002685546875,2646.12646484375,1715.5999755859375,,6241.40380859375,5241.53515625,2143.15625,3616.799560546875,1135.75,7161.0,53.33330154418945,1198.46923828125,640.975341796875,590.22021484375,2357.110107421875,,2013.913330078125,7099.10009765625,3865.17724609375,7.760000228881836,301.2204284667969,559.3060302734375,85.79000091552734,88.33595275878906,271.9709167480469,273.95001220703125,203.8678741455078,5730.10009765625,2517.367431640625,,16.36151695251465,14.160922050476074,,161.7102508544922,655.6754760742188,,536.9400024414062,246.65951538085938,567.0,,,18.0,10.563883781433105,,
2020-10-13,5132.7998046875,12.993072509765625,13.087179183959961,1747.5736083984375,1016.4237670898438,3626.002685546875,2646.12646484375,1715.5999755859375,,6241.40380859375,5241.53515625,2143.15625,3554.57177734375,1135.75,7161.0,52.555877685546875,1198.46923828125,640.975341796875,590.22021484375,2357.110107421875,,2013.913330078125,7099.10009765625,3865.17724609375,7.809999942779541,298.25775146484375,559.3060302734375,86.56999969482422,87.11771392822266,271.9709167480469,260.989990234375,203.8678741455078,5730.10009765625,2517.367431640625,,15.973143577575684,14.17090129852295,,161.7102508544922,655.6754760742188,,536.9400024414062,239.81085205078125,567.0,,,18.0,10.573539733886719,,
